sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
GHL57_combined	0.00172580821723866	0.085309391301513	0.0918405568271962	0.000220140101709379	4.50606278533603e-05	0.00295275771940338	0.000492475190528206	8.36046221250399e-05	2.47469644624429e-05	0.00249321496463198	0.000210034728496076	0.0773033333074841	0.058904698527852	0.0805925734138616	0.000141271274681053	0.00610269055943854	0.192615838801624	0.000151581541070926	6.43592597331312e-05	0.0266959414540564	9.5662362821946e-05	2.23941544205737e-05	2.84799593717235e-05	7.37826246180583e-05	0.318924730098699	6.26616143430921e-05	0.000899897573847746	4.0770871237811e-05	6.17690250256133e-05	6.07912874923463e-05	8.84499444287613e-05	3.25169999059333e-05	0.032011145599775	0.000243069913593803	0.00713482968542568	0.00677029959825416	0.000254883176559056	0.000173960445271575	0.00011273662638545	0.00424305251336372	0.000694036520199846
GHL58_combined	0.000798358630909837	0.234446238010966	0.0643768472732486	0.000367929583170378	8.43878656471483e-05	0.00230252358942369	0.000377034850111101	0.00012323375680015	5.03473649530694e-05	0.000329731790459976	0.000112825643933108	0.163617413846422	0.00230148928336391	0.069885865156687	0.000320902226251372	0.0493197415454369	0.133173065000132	0.000296199449512463	9.85606401815201e-05	0.0165431252756601	9.92188804874639e-05	5.89553602621403e-05	5.70028973387002e-05	0.000148486133588275	0.217496267614808	0.000100241077937478	0.000592960126288355	9.39622501547671e-05	8.61934473805371e-05	0.000111857103121773	0.000108874553128516	7.96544892362657e-05	0.0171888873530718	0.000112160155816482	0.000375876537511939	0.0208516415436849	0.000112077239129089	0.000259052557791813	0.000184069600528095	0.00256044154728052	0.000396298748183758
GHL59_combined	0.0162819582452134	0.092134374658554	0.16803681345725	9.5173451472879e-05	2.56235553034621e-05	0.000875058048010641	3.77533081719331e-05	5.44034672685222e-05	1.08175150169134e-05	5.92676396233801e-05	0.000158221518217597	0.177220016817542	0.00896491094721228	0.0783247638034292	0.00206074663911461	0.0124955991298865	0.216960353921568	5.08092857471411e-05	3.58454497078473e-05	0.00907828102889708	3.6923950128132e-05	1.92377770727603e-05	1.79198522517168e-05	5.44402223622178e-05	0.195636521879754	3.26536717845992e-05	5.73776739763225e-05	3.75642240761653e-05	2.96887284744839e-05	3.65644955477544e-05	7.68865910316721e-05	2.47829986140669e-05	0.0113962846145668	0.000121246371735617	9.15061368363904e-05	0.00171659054259764	8.9707653639423e-05	4.24047034214234e-05	0.000111756742295106	0.000661551077633529	0.00674759820499219
GHL61_combined	0.0161856297615044	0.0889407068303057	0.147698892293638	0.000340083166550589	4.55813208985346e-05	0.0186319799529071	0.00247161303500148	8.14921770983187e-05	1.99953662378154e-05	0.000219017073572389	0.00122328636315769	0.121218290234459	0.0488911896090304	0.127693263648774	0.000278668660794813	0.0110912403900486	0.0889171852533383	0.000203894719198363	6.43228462541059e-05	0.0148795308573337	0.00150117191445191	2.57319881561407e-05	2.54784213401453e-05	7.03471715060035e-05	0.206994231175589	6.59718493251514e-05	0.00619699748967962	4.11886824171804e-05	0.000463194235417948	0.000135308119012785	0.000658831782850756	0.0001074229083926	0.0496981940490745	0.00121583247823564	0.00241142341853482	0.0215922219346472	0.000209099671036677	0.000377238835030424	9.73794401963007e-05	0.0141991726448913	0.00481769823011049
GHL62_combined	0.00501592065633984	0.0301349402845618	0.0975914427830135	7.20987234815911e-05	3.2482336701894e-05	0.020425803562516	0.000796699402799912	6.89834678576728e-05	1.38826279596122e-05	0.000262419225192674	0.00117521097053822	0.100465455058136	0.151132039818682	0.0406448607340169	0.000111672084490033	0.0318712452175978	0.197476348205447	4.05793655077171e-05	4.70511600642418e-05	0.0173337820099486	0.000109199468542502	2.41761811381227e-05	2.18081684582038e-05	0.00299185010803207	0.215910798864737	4.13277098270767e-05	0.00733216101004588	4.57798238616771e-05	0.00104633442271775	3.91437051710598e-05	0.000783245027468329	0.00012217971054116	0.0458656658728949	0.00040719750944396	0.00201765399805034	0.0137555450451049	0.00102496723957184	0.00145134587292885	8.65919708462683e-05	0.0119673787631814	0.000242731832583833
GHL63_combined	0.00183375086716556	0.0530734230436171	0.137031545955532	9.8907142253341e-05	3.96247783299479e-05	0.0021169858826311	8.11837805538631e-05	6.16208634047736e-05	2.27085980827209e-05	0.000337238877451145	7.50721033457218e-05	0.206369030810381	0.0267518991337173	0.222971146511098	0.000421575318453418	0.0377305234432501	0.0789805333326311	0.000170954424398775	5.85822174880106e-05	0.0291492393779747	6.56809864649121e-05	3.06119795780743e-05	2.3083064934634e-05	6.76789632889788e-05	0.179030720688789	7.28552987672422e-05	0.000272582403418103	3.68535584645392e-05	6.71006400003964e-05	4.89441060259586e-05	4.84871935580943e-05	3.35420669288343e-05	0.0142862391560153	5.1741995676422e-05	0.000113141145821046	0.00443193191260451	4.71110501007864e-05	9.36324274541467e-05	7.10987645929802e-05	0.000161141019253209	0.00357027511650285
GHL65_combined	0.000730101172647354	0.090072200405149	0.13198216986932	0.000113284705337831	3.68906783511071e-05	0.00376112105816693	0.000915012520087475	8.02401127316643e-05	1.49033679940996e-05	0.000194142667177008	0.000131517098356876	0.143951665308171	0.00183181763809661	0.203070590649905	0.000191392382573579	0.00362765074172601	0.189859586812409	0.00033168791322527	6.75000991022907e-05	0.0157509070699401	0.000163206718398603	2.03659981995977e-05	1.84204158977503e-05	5.79431012809268e-05	0.164927474987099	5.25545805728966e-05	0.000922720436398532	3.84521965952352e-05	0.000151122429525125	0.000129985331900155	4.20384031839697e-05	0.000126733702396691	0.0154859939005666	0.000143485206986935	0.0084036073963933	0.00490265881483591	5.1143642901075e-05	0.000291298661038974	0.000128752677298107	0.00213482468347533	0.0150928344445884
GHL69_combined	0.000732249102635217	0.11086590463057	0.0804572334540788	0.000114125948334039	2.93604980101107e-05	0.000421294168615907	6.83063266036851e-05	3.80542873542582e-05	1.12402197058971e-05	6.37334781649251e-05	9.53504442416517e-05	0.140779130021577	0.010978426301922	0.245184072591058	0.000320223568011683	0.0543975845547068	0.0805515290516811	0.000130376042520668	4.00859299523312e-05	0.0204625681318346	3.83938166077798e-05	1.54029516524988e-05	1.43948561923518e-05	4.81260932852598e-05	0.206802567708033	3.69977367208054e-05	5.14122937676052e-05	3.03599815797555e-05	3.12981764121573e-05	2.92790448562745e-05	3.4344980672367e-05	2.43460209915097e-05	0.0129864680361001	3.50308987963211e-05	7.62117109032228e-05	0.000557392597905456	4.09877893388721e-05	7.64715161497559e-05	8.12810931047558e-05	0.000335191671617349	0.0329131922737344
GHL70_combined	0.00521489182602082	0.125596678936269	0.15894595289247	7.82761072977381e-05	2.6397587148021e-05	0.000115440375127029	8.78955912329745e-05	4.41865055287974e-05	1.53521018559454e-05	0.00012270216001809	3.91502938417104e-05	0.140636066253134	0.215867658965766	0.0935629126548563	0.000144481221017256	0.00021083181003318	0.0784800273634338	9.01966675109519e-05	0.029360030730713	0.00751395708532283	4.08598109107714e-05	2.25491419795254e-05	2.3299491659863e-05	5.19529009716773e-05	0.119794547840737	4.00271906737509e-05	8.46293839830068e-05	3.42121751262574e-05	4.50484428263379e-05	6.49049570651006e-05	3.98436263945694e-05	7.5013635254344e-05	0.0155292174305125	4.83082976475997e-05	0.000262059200471614	0.00629060566296766	4.58468729133749e-05	6.57119918082957e-05	0.000106521834548039	0.00071695168444608	0.00046480129850516
GHL71_combined	0.00040200395094659	0.14988513636777	0.128413125130326	0.000923152730364936	3.4692663134926e-05	0.00410698949686881	0.00156894282686836	0.000140956305178316	1.54945092751079e-05	0.00219564298371477	5.45189709493753e-05	0.0769960677619605	0.00014362781461136	0.146574142909695	0.0157129052309153	0.00983165816696466	0.250577693197247	0.000175153770947591	6.72709134306923e-05	0.0291416439811723	0.000197894381558555	1.89100989830817e-05	2.3701466342681e-05	0.000101864397047661	0.139538645687756	6.59618727755797e-05	0.00111977040232216	4.36144363435616e-05	0.000195076337123511	5.18538990970356e-05	0.00020194346534933	6.10767990521896e-05	0.0251106345878183	0.000129036745541887	0.00159647079655705	0.00814397987508767	0.000178213666365739	0.000113407611182095	0.000111938875744736	0.00282592175342781	0.00320926316218183
