"sample_id"	"Intrahepatic.cholangiocyte"	"NK.Cell"	"Monocyte"	"Macrophage"	"Secretory.cell"	"Respiratory.ciliated.cell"	"Ionocyte.luminal.epithelial.cell.of.mammary.gland"	"Fibroblast.mesenchymal.stem.cell"	"Respiratory.secretory.cell"	"Mast.cell"	"Basal.cell"	"Endothelial.cell"	"neutrophil"	"B.cell"	"T.Cell"	"Erythrocyte.erythroid.progenitor"	"Platelet"	"Basophil"	"Stromal.cell"	"Mature.conventional.dendritic.cell"	"Adventitial.cell"	"Gland.cell"	"Salivary.bronchial.secretory.cell"	"Pericyte.cell"	"Myeloid.progenitor"	"Pancreatic.Stellate.cell"	"Pancreatic.alpha.beta.cell"	"Basal.prostate.cell"	"Prostate.epithelia"	"Salivary.gland.cell"	"Intestinal.enterocyte"	"Intestinal.secretory.cell"	"Intestinal.tuft.cell"	"Type.II.Pneumocyte"	"Cell.of.skeletal.muscle"	"Schwann.cell"	"Tendon.cell"	"Mesothelial.cell"	"Plasmablast"	"Kidney.epithelial.cell"	"Thymocyte"
"TBSQUARE_WBRNA_578"	3.8134876861118e-05	0.124193149174074	0.11540128999906	4.85755775196238e-05	1.16534006455616e-05	0.00558449585015477	6.51667743716534e-05	2.77633515134738e-05	9.00186184715885e-06	6.08104972881518e-05	0.000123762450094907	0.0114191516809453	0.189094232571011	0.203382495824179	0.11067415585922	1.5619366802375e-05	0.069066950631302	4.27998945286357e-05	1.91362502218897e-05	0.00177571530965352	2.25858907942483e-05	9.87556951696642e-06	1.07903052373724e-05	2.60036663737251e-05	0.127101561935219	1.39771471153318e-05	0.00170778080199951	1.3232702535568e-05	0.000437397817228143	5.88793318633187e-05	0.000218451857296136	1.09706019180075e-05	0.0201826657146275	2.13997093482516e-05	2.70238671772496e-05	0.00129777354207201	3.98500254649086e-05	0.000404778874947589	6.44185810188004e-05	0.00900701437033308	0.00826950648661852
"TBSQUARE_WBRNA_583"	1.05249358278034e-05	0.332801727090816	0.107878493213686	6.72563800942313e-05	1.1065060770367e-05	0.000365082504325821	2.15856764225479e-05	1.51390574101873e-05	5.22604632890174e-06	8.2353444761629e-05	1.49030582510653e-05	0.0717047833915543	0.128051708920068	0.160733939948154	0.00405932738320204	0.00259665606230795	0.0644660665528733	7.25397934874577e-05	1.50225739966228e-05	8.95605411636879e-05	1.29314422036589e-05	8.00786571844494e-06	8.33524302970839e-06	1.37080725513115e-05	0.125869023097997	1.29153118069841e-05	1.84764322551888e-05	1.22924618556849e-05	1.31935362219995e-05	1.29577874380986e-05	2.23496091564416e-05	1.46742919175569e-05	0.000613298826854205	1.41708638053371e-05	1.87779396024193e-05	1.84901613535872e-05	2.00797078048877e-05	5.2708596489765e-05	5.90351165024913e-05	3.27549536254419e-05	8.88570463065976e-05
"TBSQUARE_WBRNA_584"	2.17031946938523e-05	0.135417488699181	0.0716135270328159	6.77876526228365e-05	2.75227847078835e-05	5.17523191016217e-05	3.34123876755054e-05	2.91223068053541e-05	1.48701449025187e-05	0.000119533250880493	2.31735223005127e-05	0.0990306299892497	0.32510303607733	0.126073948639594	0.0426904753569711	8.71982448248712e-05	0.136410274564886	8.10635938132508e-05	3.91255402255661e-05	9.37114972227089e-05	2.16086646675984e-05	1.80937487154406e-05	1.54018226185895e-05	2.55952808117759e-05	0.0596575715467871	2.93415689111428e-05	6.57199500654042e-05	2.8048599307547e-05	7.36385702731912e-05	3.55831593699278e-05	0.00169387386197065	2.3725822429058e-05	0.000737698044494891	4.44781587446514e-05	5.3105593851846e-05	3.37375832152405e-05	2.93933154128679e-05	4.66069061785813e-05	5.13506476985682e-05	0.000163479736026261	0.000122590618645047
"TBSQUARE_WBRNA_589"	1.66795864959024e-05	0.128377554687129	0.0714531445422567	5.35578824797455e-05	1.37843402832616e-05	0.000111836251705731	1.94485088551749e-05	2.70012977848807e-05	7.2194924823075e-06	5.32921582894703e-05	1.22277781469529e-05	9.29676831632199e-05	0.146479811812494	0.227500072701678	0.0966712967255141	3.54022544676321e-05	0.0738318071113852	6.22393303927406e-05	1.91551470936995e-05	6.13836358723492e-05	1.62116637303138e-05	9.44833846868207e-06	9.93504023565818e-06	1.8025832287213e-05	0.205631489672561	2.08613775259575e-05	1.54591995750503e-05	1.55360529157737e-05	3.88831942792114e-05	1.55330442240029e-05	2.04569907036962e-05	1.23513049383683e-05	0.0200184980409365	1.79835814562819e-05	3.0766560268546e-05	5.78233443802913e-05	2.2675160348738e-05	1.49892535558776e-05	5.21393708421007e-05	0.00192633204561519	0.0271347180031823
"TBSQUARE_WBRNA_591"	1.11009910404762e-05	0.189607481392397	0.0935691504580709	5.24436511754391e-05	9.95189582668655e-06	2.55295292089151e-05	2.03240257869939e-05	1.88431408932722e-05	5.90129422898255e-06	5.52058841061593e-05	1.16060704059628e-05	2.53989877772394e-05	0.249205923015684	0.174365782085613	0.072576266472308	6.36025217321183e-05	0.139113978531553	2.95024132501818e-05	1.67385617845385e-05	6.00837845339249e-05	1.0793835996281e-05	7.50053037826984e-06	7.85376043286719e-06	1.42521536843768e-05	0.0798133080683596	1.45205664113548e-05	3.0389574408717e-05	1.17630245678193e-05	1.45832905551463e-05	1.46952894039443e-05	3.48640455861496e-05	1.31382370831628e-05	0.00085605720535906	2.2190884118629e-05	2.61957109313475e-05	1.57872438085992e-05	2.24209664869902e-05	3.61941898117816e-05	6.30804550131334e-05	2.29930922251099e-05	0.000102603168001153
"TBSQUARE_WBRNA_596"	2.80058620483016e-05	0.140298139018223	0.0469471778230393	6.5987604611715e-05	1.91513760921606e-05	0.000182615849094698	3.57120001859576e-05	3.36823561917336e-05	1.24873096180651e-05	0.000114813562497597	2.08803158690246e-05	0.0111941608161674	0.0436144644854893	0.161798351178389	0.13108650394637	0.248440110575429	0.197469863835051	0.000126024764256711	3.26146959970147e-05	9.99324760282744e-05	3.28220773242639e-05	1.78714892417371e-05	1.36522964571256e-05	3.48538488424071e-05	0.00104717512318531	2.95850294973717e-05	3.26485114289787e-05	2.22185984234779e-05	4.04408018799958e-05	2.74284069906613e-05	2.25082860844366e-05	2.22361371173163e-05	0.00268790710125172	3.5568894060069e-05	4.31596739616459e-05	4.22727121268583e-05	3.78271911483501e-05	0.000133202748972151	7.58968667916317e-05	5.49679302842706e-05	0.0139250764242823
"TBSQUARE_WBRNA_597"	0.00258751268820796	0.0561007735767786	0.0756223646468292	0.000375992574521045	0.000218768192836474	0.0278070690696132	0.000258531819489536	0.000815176460270049	0.000145114468709494	0.000371331927174913	0.000191637999874226	0.0289890651158637	0.228122843483241	0.214323579812687	0.0762704784049208	0.000169892602799102	0.0610584798351015	0.00204295666767453	0.000277701109968796	0.00392191221244189	0.000806669075167701	0.00018330107743986	0.000191680030703088	0.000282361808198084	0.152022246773051	0.000209214544954855	0.00701999053435777	0.000200357469640956	0.000406751579918206	0.000297589868724761	0.000338681146768794	0.000385817333206939	0.0498428387558	0.000499210057886836	0.000515040878646245	0.00240238564610332	0.000388378213159049	0.00206894444633487	0.000320537452908446	0.00154504699823868	0.000401773639788609
"TBSQUARE_WBRNA_598"	2.09790904218442e-05	0.121435154342137	0.15875266315669	0.000122225394165969	2.40323833287971e-05	2.03264867293199e-05	4.16355540400376e-05	3.32968070487859e-05	1.23062261794391e-05	8.9443024757966e-05	1.72053749510533e-05	0.000796716259620489	0.257309107664715	0.195729191290218	0.0717674372119054	2.29023497480318e-05	0.113288783183496	8.45360692815114e-05	3.84294256453958e-05	0.000114207000570459	2.31796601834482e-05	1.65789749352359e-05	1.68834114753917e-05	4.27204575379025e-05	0.0749834740742433	2.95322792806827e-05	8.27791057385025e-05	2.10181281845173e-05	3.35438692323859e-05	2.74143350379583e-05	0.00136827317939487	2.07628933433911e-05	0.00255082908621143	4.17866917084058e-05	6.87664812573744e-05	4.09703918521983e-05	4.94535755216387e-05	0.000111245221843965	6.89886072753601e-05	0.000443594242130433	0.000237627037961603
"TBSQUARE_WBRNA_599"	0.000112885156322296	0.032066654140332	0.0388568352981362	0.000318981831566711	0.000108198901562005	0.00646731146276462	0.000136953364842144	0.000186555002332753	7.97509083832151e-05	0.000198596460479768	0.000212226993801182	0.000878044789028558	0.163769209143797	0.184968077427326	0.128719693159918	0.000398449897062157	0.140662859891035	0.000176291151086675	0.000133760267382074	0.000207054686268406	0.000251065616534113	9.60760380409372e-05	9.68761800479304e-05	0.000239971725803048	0.289339368707979	0.00013656991529969	0.00191142388479533	0.000155547017523112	0.000174404407835993	0.000117842312238696	0.00515483468547545	0.00012784278958514	0.000471154928799436	0.000367318586891036	0.000246304566722185	0.000323563318734453	0.000165945964743514	0.000168523050505117	0.000171078916207911	0.000627469441028207	0.000998428011783198
"TBSQUARE_WBRNA_601"	6.05830318635024e-05	0.0386003165219102	0.0779139670920282	0.00016503452457185	6.4824170918987e-05	0.000910199688091632	9.72225315541397e-05	8.01641720425706e-05	3.89272117543447e-05	0.000136717572254481	0.000110486851711222	0.00112900864451976	0.224137394103744	0.12069119394587	0.177134093571745	8.86134932937402e-05	0.208090815402878	0.000107643814070416	6.30326970483001e-05	0.000151167065952841	8.12835392257166e-05	4.24905112297024e-05	5.58901570249765e-05	7.84852606635055e-05	0.141158169030435	5.58542857561479e-05	0.000482279277809867	6.44528001308733e-05	7.72764001269078e-05	7.20678202137346e-05	0.00519221627807077	6.18501218905421e-05	0.00110701961762882	0.000117694310364913	0.000105770579007595	7.08701319434319e-05	6.10702717250149e-05	0.000431545584805872	0.000151471524623168	0.000622300156588075	0.000138536232911569
